state,date,rt,lower_90,upper_90,fips,cases,deaths
Alabama,2021-05-24,0.81,0.67,0.94,01,542256.0,11112.0
Alaska,2021-05-24,0.82,0.69,0.95,02,69424.0,352.0
Arizona,2021-05-24,0.94,0.89,0.98,04,877182.0,17555.0
Arkansas,2021-05-24,1.01,0.92,1.1,05,340186.0,5820.0
California,2021-05-24,0.94,0.84,1.02,06,3778839.0,62947.0
Colorado,2021-05-24,0.88,0.83,0.93,08,540892.0,6652.0
Connecticut,2021-05-24,0.77,0.69,0.85,09,346711.0,8219.0
Delaware,2021-05-24,0.74,0.68,0.8,10,108409.0,1659.0
District of Columbia,2021-05-24,0.65,0.5,0.79,11,48762.0,1130.0
Florida,2021-05-24,0.84,0.71,0.96,12,2311933.0,36500.0
Georgia,2021-05-24,0.89,0.79,0.99,13,1095706.0,20010.0
Guam,2021-05-24,0.9,0.78,1.0,,9105.0,140.0
Hawaii,2021-05-24,0.93,0.87,0.99,15,34688.0,493.0
Idaho,2021-05-24,0.91,0.84,0.97,16,191469.0,2089.0
Illinois,2021-05-24,0.72,0.59,0.84,17,1380389.0,25011.0
Indiana,2021-05-24,0.81,0.69,0.92,18,743899.0,13554.0
Iowa,2021-05-24,0.87,0.76,0.96,19,370721.0,6035.0
Kansas,2021-05-24,0.95,0.82,1.05,20,315298.0,5094.0
Kentucky,2021-05-24,0.82,0.72,0.92,21,458226.0,6879.0
Louisiana,2021-05-24,0.94,0.85,1.02,22,468402.0,10535.0
Maine,2021-05-24,0.74,0.64,0.84,23,67071.0,822.0
Maryland,2021-05-24,0.77,0.74,0.8,24,458711.0,9022.0
Massachusetts,2021-05-24,0.71,0.59,0.82,25,705370.0,17825.0
Michigan,2021-05-24,0.71,0.6,0.82,26,985912.0,20141.0
Minnesota,2021-05-24,0.75,0.64,0.85,27,599327.0,7463.0
Mississippi,2021-05-24,0.89,0.8,0.96,28,316754.0,7285.0
Missouri,2021-05-24,1.02,0.98,1.06,29,612340.0,9578.0
Montana,2021-05-24,0.77,0.65,0.88,30,111329.0,1603.0
Nebraska,2021-05-24,0.74,0.61,0.85,31,223054.0,2378.0
Nevada,2021-05-24,0.98,0.91,1.04,32,322757.0,5559.0
New Hampshire,2021-05-24,0.62,0.47,0.74,33,98349.0,1344.0
New Jersey,2021-05-24,0.92,0.86,0.98,34,1014190.0,26088.0
New Mexico,2021-05-24,0.89,0.83,0.95,35,202221.0,4247.0
New York,2021-05-24,0.79,0.75,0.83,36,2094493.0,52621.0
North Carolina,2021-05-24,0.86,0.75,0.97,37,998658.0,13010.0
North Dakota,2021-05-24,0.84,0.79,0.89,38,109663.0,1537.0
Northern Mariana Islands,2021-05-24,0.66,0.36,0.91,,181.0,2.0
Ohio,2021-05-24,0.81,0.76,0.86,39,1097867.0,19709.0
Oklahoma,2021-05-24,0.97,0.9,1.03,40,452288.0,6918.0
Oregon,2021-05-24,0.87,0.78,0.96,41,199046.0,2651.0
Pennsylvania,2021-05-24,0.75,0.68,0.82,42,1201370.0,27089.0
Puerto Rico,2021-05-24,0.78,0.72,0.84,,171615.0,2474.0
Rhode Island,2021-05-24,0.77,0.67,0.86,44,151440.0,2705.0
South Carolina,2021-05-24,0.7,0.56,0.84,45,591365.0,9690.0
South Dakota,2021-05-24,0.86,0.71,1.02,46,123942.0,2004.0
Tennessee,2021-05-24,0.85,0.75,0.95,47,846478.0,12293.0
Texas,2021-05-24,0.94,0.88,1.01,48,2939416.0,51410.0
Utah,2021-05-24,1.0,0.92,1.06,49,404695.0,2292.0
Vermont,2021-05-24,0.62,0.5,0.74,50,24127.0,255.0
Virgin Islands,2021-05-24,0.92,0.78,1.07,,3383.0,27.0
Virginia,2021-05-24,0.83,0.72,0.93,51,673105.0,11116.0
Washington,2021-05-24,0.93,0.83,1.03,53,431446.0,5754.0
West Virginia,2021-05-24,0.54,0.37,0.69,54,160354.0,2775.0
Wisconsin,2021-05-24,0.53,0.35,0.68,55,672801.0,7749.0
Wyoming,2021-05-24,0.97,0.9,1.03,56,59797.0,713.0
Alabama,2021-06-24,1.19,1.03,1.36,01,549394.0,11328.0
Alaska,2021-06-24,1.13,1.0,1.29,02,70443.0,357.0
Arizona,2021-06-24,1.09,1.04,1.14,04,891649.0,17875.0
Arkansas,2021-06-24,1.2,1.11,1.3,05,346952.0,5890.0
California,2021-06-24,1.2,1.11,1.33,06,3812993.0,63490.0
Colorado,2021-06-24,1.0,0.95,1.06,08,558665.0,6904.0
Connecticut,2021-06-24,1.12,1.02,1.21,09,348993.0,8274.0
Delaware,2021-06-24,1.06,0.99,1.13,10,109620.0,1693.0
District of Columbia,2021-06-24,1.13,0.98,1.33,11,49297.0,1141.0
Florida,2021-06-24,1.11,0.98,1.26,12,2320057.0,37705.0
Georgia,2021-06-24,1.08,0.96,1.19,13,1107923.0,20676.0
Guam,2021-06-24,1.0,0.89,1.11,,9285.0,140.0
Hawaii,2021-06-24,1.07,1.0,1.12,15,36157.0,510.0
Idaho,2021-06-24,1.07,1.0,1.14,16,194685.0,2145.0
Illinois,2021-06-24,1.07,0.92,1.26,17,1394189.0,25630.0
Indiana,2021-06-24,1.01,0.9,1.13,18,755741.0,13819.0
Iowa,2021-06-24,0.98,0.87,1.09,19,373372.0,6124.0
Kansas,2021-06-24,1.17,1.06,1.31,20,318591.0,5175.0
Kentucky,2021-06-24,1.05,0.94,1.17,21,465024.0,7247.0
Louisiana,2021-06-24,1.21,1.11,1.3,22,479311.0,10717.0
Maine,2021-06-24,0.94,0.82,1.05,23,68889.0,856.0
Maryland,2021-06-24,1.08,1.04,1.11,24,462170.0,9729.0
Massachusetts,2021-06-24,1.07,0.93,1.23,25,709622.0,17986.0
Michigan,2021-06-24,0.92,0.79,1.06,26,997561.0,20931.0
Minnesota,2021-06-24,1.0,0.88,1.13,27,604972.0,7654.0
Mississippi,2021-06-24,1.21,1.13,1.29,28,320594.0,7391.0
Missouri,2021-06-24,1.16,1.11,1.2,29,629625.0,9858.0
Montana,2021-06-24,1.0,0.9,1.12,30,113578.0,1661.0
Nebraska,2021-06-24,1.16,1.03,1.32,31,224525.0,2519.0
Nevada,2021-06-24,1.13,1.06,1.2,32,330810.0,5664.0
New Hampshire,2021-06-24,1.05,0.91,1.22,33,99392.0,1369.0
New Jersey,2021-06-24,1.01,0.94,1.07,34,1022094.0,26417.0
New Mexico,2021-06-24,1.05,0.98,1.12,35,205215.0,4336.0
New York,2021-06-24,1.1,1.05,1.14,36,2111245.0,53052.0
North Carolina,2021-06-24,1.06,0.95,1.19,37,1012883.0,13426.0
North Dakota,2021-06-24,0.97,0.91,1.03,38,110658.0,1558.0
Northern Mariana Islands,2021-06-24,1.28,0.97,1.87,,183.0,2.0
Ohio,2021-06-24,1.03,0.97,1.09,39,1110000.0,20213.0
Oklahoma,2021-06-24,1.21,1.14,1.29,40,456686.0,7384.0
Oregon,2021-06-24,0.97,0.85,1.08,41,207617.0,2791.0
Pennsylvania,2021-06-24,1.0,0.91,1.09,42,1215735.0,27675.0
Puerto Rico,2021-06-24,1.13,1.04,1.21,,173417.0,2544.0
Rhode Island,2021-06-24,1.04,0.92,1.16,44,152501.0,2727.0
South Carolina,2021-06-24,1.16,0.99,1.36,45,596032.0,9805.0
South Dakota,2021-06-24,0.78,0.59,0.95,46,124478.0,2029.0
Tennessee,2021-06-24,1.1,0.99,1.22,47,853701.0,12442.0
Texas,2021-06-24,1.08,1.0,1.14,48,2985029.0,52396.0
Utah,2021-06-24,1.03,0.97,1.09,49,413078.0,2337.0
Vermont,2021-06-24,1.11,0.97,1.28,50,24385.0,256.0
Virgin Islands,2021-06-24,1.04,0.92,1.18,,3774.0,30.0
Virginia,2021-06-24,1.1,1.0,1.22,51,679330.0,11378.0
Washington,2021-06-24,0.95,0.83,1.05,53,451560.0,5939.0
West Virginia,2021-06-24,1.04,0.86,1.25,54,163744.0,2876.0
Wisconsin,2021-06-24,1.14,0.95,1.38,55,677398.0,8092.0
Wyoming,2021-06-24,1.04,0.99,1.12,56,61847.0,740.0
Alabama,2021-07-24,1.28,1.1,1.46,01,569131.0,11483.0
Alaska,2021-07-24,1.27,1.12,1.43,02,73193.0,367.0
Arizona,2021-07-24,1.16,1.12,1.22,04,915660.0,18170.0
Arkansas,2021-07-24,1.13,1.03,1.22,05,374328.0,6048.0
California,2021-07-24,1.17,1.07,1.26,06,3977990.0,64220.0
Colorado,2021-07-24,1.12,1.06,1.18,08,572460.0,7063.0
Connecticut,2021-07-24,1.24,1.14,1.34,09,352037.0,8286.0
Delaware,2021-07-24,1.28,1.2,1.36,10,110729.0,1698.0
District of Columbia,2021-07-24,1.23,1.06,1.39,11,49973.0,1146.0
Florida,2021-07-24,1.23,1.09,1.39,12,2479975.0,38670.0
Georgia,2021-07-24,1.26,1.14,1.41,13,1132526.0,20917.0
Guam,2021-07-24,1.27,1.14,1.44,,9470.0,144.0
Hawaii,2021-07-24,1.31,1.25,1.38,15,38741.0,524.0
Idaho,2021-07-24,1.21,1.13,1.31,16,198306.0,2185.0
Illinois,2021-07-24,1.23,1.07,1.39,17,1411845.0,25867.0
Indiana,2021-07-24,1.23,1.1,1.37,18,767812.0,13965.0
Iowa,2021-07-24,1.17,1.04,1.32,19,377300.0,6170.0
Kansas,2021-07-24,1.16,0.98,1.29,20,328603.0,5275.0
Kentucky,2021-07-24,1.3,1.16,1.44,21,475351.0,7355.0
Louisiana,2021-07-24,1.2,1.1,1.3,22,512843.0,10900.0
Maine,2021-07-24,1.24,1.11,1.38,23,69904.0,897.0
Maryland,2021-07-24,1.3,1.26,1.34,24,465862.0,9806.0
Massachusetts,2021-07-24,1.26,1.1,1.43,25,715180.0,18046.0
Michigan,2021-07-24,1.36,1.2,1.55,26,1004909.0,21131.0
Minnesota,2021-07-24,1.27,1.13,1.42,27,609480.0,7743.0
Mississippi,2021-07-24,1.27,1.18,1.35,28,333180.0,7502.0
Missouri,2021-07-24,1.05,1.01,1.09,29,677560.0,10189.0
Montana,2021-07-24,1.22,1.1,1.35,30,115364.0,1695.0
Nebraska,2021-07-24,1.18,1.05,1.32,31,226839.0,2546.0
Nevada,2021-07-24,1.06,0.99,1.12,32,349043.0,5817.0
New Hampshire,2021-07-24,1.28,1.13,1.46,33,100152.0,1385.0
New Jersey,2021-07-24,1.2,1.14,1.27,34,1033116.0,26573.0
New Mexico,2021-07-24,1.24,1.17,1.33,35,208487.0,4399.0
New York,2021-07-24,1.24,1.19,1.28,36,2133044.0,53219.0
North Carolina,2021-07-24,1.24,1.12,1.37,37,1032686.0,13586.0
North Dakota,2021-07-24,1.29,1.23,1.35,38,111246.0,1569.0
Northern Mariana Islands,2021-07-24,1.28,1.03,1.6,,188.0,2.0
Ohio,2021-07-24,1.27,1.2,1.33,39,1121609.0,20467.0
Oklahoma,2021-07-24,1.16,1.09,1.24,40,471176.0,7454.0
Oregon,2021-07-24,1.25,1.13,1.41,41,214869.0,2867.0
Pennsylvania,2021-07-24,1.3,1.19,1.4,42,1224059.0,27823.0
Puerto Rico,2021-07-24,1.32,1.24,1.41,,177114.0,2567.0
Rhode Island,2021-07-24,1.32,1.19,1.47,44,153447.0,2739.0
South Carolina,2021-07-24,1.32,1.14,1.51,45,606833.0,9878.0
South Dakota,2021-07-24,1.37,1.17,1.6,46,124948.0,2041.0
Tennessee,2021-07-24,1.27,1.13,1.41,47,867449.0,12580.0
Texas,2021-07-24,1.26,1.18,1.33,48,3069699.0,53141.0
Utah,2021-07-24,1.06,0.99,1.14,49,426489.0,2425.0
Vermont,2021-07-24,1.31,1.14,1.47,50,24676.0,259.0
Virgin Islands,2021-07-24,1.2,1.01,1.36,,4301.0,35.0
Virginia,2021-07-24,1.22,1.11,1.35,51,688300.0,11500.0
Washington,2021-07-24,1.19,1.08,1.34,53,467489.0,6124.0
West Virginia,2021-07-24,1.28,1.08,1.51,54,165702.0,2936.0
Wisconsin,2021-07-24,1.32,1.12,1.55,55,682276.0,8240.0
Wyoming,2021-07-24,1.15,1.08,1.21,56,64251.0,766.0
Alabama,2021-08-10,1.1,0.81,1.37,01,615901.0,11648.0
Alaska,2021-08-10,1.17,0.9,1.42,02,78040.0,383.0
Arizona,2021-08-10,1.08,1.0,1.16,04,950827.0,18400.0
Arkansas,2021-08-10,1.04,0.87,1.19,05,407892.0,6346.0
California,2021-08-10,1.12,0.97,1.27,06,4157038.0,64838.0
Colorado,2021-08-10,1.12,1.03,1.22,08,588617.0,7167.0
Connecticut,2021-08-10,1.04,0.89,1.19,09,359638.0,8297.0
Delaware,2021-08-10,1.18,1.07,1.28,10,113090.0,1836.0
District of Columbia,2021-08-10,1.11,0.86,1.37,11,51726.0,1149.0
Florida,2021-08-10,1.23,0.98,1.5,12,2782060.0,40167.0
